No,id,nama_perusahaan,status_kepemilikan,kelompok_jasa,bidang_jasa,kemampuan_jasa,sub_kemampuan_jasa,peringkat,kategori_keberpihakan,status_audit,provinsi,kabupaten
1002,2704,PT INDOKOMAS BUANA PERKASA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Konstruksi Bangunan Gudang Dan Industri,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1003,2704,PT INDOKOMAS BUANA PERKASA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Terintegrasi,Infrastruktur Non Sipil,"Pembangkit Tenaga Listrik, Sistem Transmisi Dan Distribusi",1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1004,2704,PT INDOKOMAS BUANA PERKASA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,Jaringan Transmisi Dan Distribusi Tenaga Listrik,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1005,2704,PT INDOKOMAS BUANA PERKASA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Terintegrasi,Industri Proses,Jasa Terintegrasi Untuk Konstruksi Fasilitas Minyak Dan Gas ,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1006,2706,PT MANDE SAKTI DRILLING,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pemboran ,Jasa Pemboran ,Pemboran Di Daratan (Onshore Drilling),3,Tinggi,Sudah Verifikasi,Jambi,Muaro Jambi
1007,2707,PT DHI EXCELLENCE LOGGING,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Jasa Geologi & Geofisika,Jasa Survei G&G,Mud Logging,1,Rendah,Belum Verifikasi,Banten,Kota Tangerang Selatan
1008,2707,PT DHI EXCELLENCE LOGGING,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Jasa Geologi & Geofisika,Jasa Interpretasi G&G,Interpretasi Data Geologi Dan Geofisika,1,Rendah,Belum Verifikasi,Banten,Kota Tangerang Selatan
1009,2708,Tri Putra Inspektindo,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Qa Untuk Non Destructive Testing,1,Tinggi,Belum Verifikasi,Kalimantan Timur,Kota Balikpapan
1010,2709,PT FABILA TEKNIK SEJAHTERA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pekerjaan Bawah Air,1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1011,2710,PT SUMATRA WAHANA PERKASA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Angkutan  Laut,Tug Boat,2,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Utara
1012,2710,PT SUMATRA WAHANA PERKASA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pemboran ,Jasa Pemboran ,Pemboran Di Lepas Pantai (Offshore Drilling),2,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Utara
1013,2711,PT TRAYA MADANI KONSULTAN,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Konsultansi Konstruksi,Perencanaan Konstruksi,Jasa Nasihat/Pra Disain Dan Disain Engineering Pekerjaan Teknik Sipil,1,Rendah,Belum Verifikasi,Nangroe Aceh Darussalam,Kota Banda Aceh
1014,2711,PT TRAYA MADANI KONSULTAN,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Konsultansi Konstruksi,Pengawas Konstruksi,Jasa Pengawas Pekerjaan Konstruksi Bangunan Gedung,1,Rendah,Belum Verifikasi,Nangroe Aceh Darussalam,Kota Banda Aceh
1015,2712,PT DEVI MANDIRI,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Sipil,"Jalan Raya, Jalan Lingkungan",3,Tinggi,Sudah Verifikasi,Jambi,Kota Jambi
1016,2713,PT ASIA PACIFIC ENERGI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pemboran ,Operasi Sumur Pemboran,Pemasangan Tubing Produksi (Production Tubing) Dan Penyekat (Packer),1,Rendah,Belum Verifikasi,Banten,Kota Tangerang Selatan
1017,2713,PT ASIA PACIFIC ENERGI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pengoperasian Dan Pemeliharaan Sistem Pengangkatan Buatan,1,Rendah,Belum Verifikasi,Banten,Kota Tangerang Selatan
1018,2714,PT ERFAHREN INDO NUSA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Welding Inspection,1,Tinggi,Belum Verifikasi,Banten,Kota Tangerang Selatan
1019,2714,PT ERFAHREN INDO NUSA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),1,Tinggi,Belum Verifikasi,Banten,Kota Tangerang Selatan
1020,2715,PT Biro Klasifikasi Indonesia,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Inspeksi Teknis Peralatan Lingkungan,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Utara
1021,2715,PT Biro Klasifikasi Indonesia,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Penyiapan Pengujian Teknis Katup Pengaman,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Utara
1022,2715,PT Biro Klasifikasi Indonesia,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Penelitian Dan Pengembangan,Studi Kelayakan,Verifikasi Tingkat Komponen Dalam Negeri ( TKDN ),3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Utara
1023,2716,PELABUHAN PENAJAM BANUA TAKA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pangkalan Logistik,1,Tinggi,Belum Verifikasi,Kalimantan Timur,Penajam Paser Utara
1024,2717,PT ELNUSA GEOSAINS INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Geologi & Geofisika,Jasa Interpretasi G&G,Pemodelan Reservoir (Reservoir Modeling),2,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1025,2717,PT ELNUSA GEOSAINS INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Geologi & Geofisika,Jasa Survei  Non G&G,Survei Topografi,2,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1026,2717,PT ELNUSA GEOSAINS INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Geologi & Geofisika,Jasa Survei G&G,Pelaksanaan Seismik Di Daratan (Onshore Seismic),2,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1027,2719,PT SARANA GASTEKINDO UTAMA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Pusat
1028,2720,PT RUSWIN INDONESIA,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pengoperasian Dan Pemeliharaan Sistem Peringatan Bahaya,2,Rendah,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1029,2722,PT EMIRA ENERGI CORP,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),1,Rendah,Belum Verifikasi,Banten,Kota Cilegon
1030,2723,PT PUTRA DUMAS LESTARI,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",2,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Barat
1031,2724,PT PRIMACO JAYA LARASINDO,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",1,Rendah,Belum Verifikasi,Sumatera Utara,Kota Medan
1032,2725,PT WIJAYA ANUGRAH PERSADA RAYA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",1,Tinggi,Belum Verifikasi,Jawa Barat,Cirebon
1033,2725,PT WIJAYA ANUGRAH PERSADA RAYA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Konstruksi Bangunan Gudang Dan Industri,1,Tinggi,Belum Verifikasi,Jawa Barat,Cirebon
1034,2726,PT TRIACHA JAYA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Fasilitas Produksi, Penyimpanan Minyak Dan Gas",1,Tinggi,Belum Verifikasi,Jawa Barat,Kota Cirebon
1035,2727,MEKAR SEMPURNA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Sipil,"Jalan Raya, Jalan Lingkungan",1,Rendah,Belum Verifikasi,Jawa Barat,Cirebon
1036,2728,PT ELIAZER NAHOR PRATAMA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Sipil,Pekerjaan Persiapan,1,Rendah,Belum Verifikasi,Jawa Barat,Bogor
1037,2728,PT ELIAZER NAHOR PRATAMA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",1,Rendah,Belum Verifikasi,Jawa Barat,Bogor
1038,2729,PT TOTALINDO ENERGI BAHANA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pemboran ,Operasi Sumur Pemboran,Underbalanced Drilling,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1039,2730,PT LAPI ITB,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Konsultansi Konstruksi,Perencanaan Konstruksi,Jasa Disain Engineering Mekanikal,2,Tinggi,Sudah Verifikasi,Jawa Barat,Bandung
1040,2730,PT LAPI ITB,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Konsultansi Konstruksi,Pengawas Konstruksi,Jasa Pengawas Pekerjaan Konstruksi Bangunan Gedung,2,Tinggi,Sudah Verifikasi,Jawa Barat,Bandung
1041,2730,PT LAPI ITB,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Geologi & Geofisika,Jasa Survei G&G,Pelaksanaan Seismik Di Daratan (Onshore Seismic),2,Tinggi,Sudah Verifikasi,Jawa Barat,Bandung
1042,2732,PT PLN Indonesia Power Services,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Inspeksi Teknis Bejana Bertekanan,2,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1043,2732,PT PLN Indonesia Power Services,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),2,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1044,2732,PT PLN Indonesia Power Services,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Pemompaan,2,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1045,2734,PT JAYA ANDALAS PRIMA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Sipil,Pekerjaan Persiapan,1,Rendah,Belum Verifikasi,Sumatera Selatan,Kota Prabumulih
1046,2735,PT ANSARI JAYA SAKTI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pemboran ,Jasa Pemboran ,Pemboran Di Lepas Pantai (Offshore Drilling),1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1047,2738,PT Adyawinsa Telecommunication & Electrical,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Utara
1048,2738,PT Adyawinsa Telecommunication & Electrical,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Konstruksi Bangunan Gudang Dan Industri,1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Utara
1049,2739,PT Intertek Utama Services,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Penelitian Dan Pengembangan,Penelitian Laboratorium,Analisis Hasil Pemboran Intl (Core Analysis),1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Timur
1050,2741,PT Multi Teraindo,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),1,Rendah,Belum Verifikasi,Riau,Kota Pekanbaru
1051,2742,PT LUKY CIPTA NIAGA DUNIA SPECTRUMINDO,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Penelitian Dan Pengembangan,Penelitian Laboratorium,Rekayasa Fludia Pemboran (Mud Engineering),1,Tinggi,Belum Verifikasi,Jawa Barat,Bogor
1052,2744,PT BORMINDO NUSANTARA,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Jasa Pemboran ,Jasa Pemboran ,Pemboran Di Daratan (Onshore Drilling),1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1053,2744,PT BORMINDO NUSANTARA,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Jasa Pemboran ,Operasi Sumur Pemboran,Kerja Ulang Sumur (Workover),1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1054,2745,MARINA LOGISTIK SEJAHTERA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Angkutan  Laut,Crew Boat,3,Tinggi,Sudah Verifikasi,Kalimantan Timur,Kota Balikpapan
1055,2750,PT Vadhana International,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Sipil,Pekerjaan Persiapan,3,Tinggi,Sudah Verifikasi,Riau,Kota Pekanbaru
1056,2750,PT Vadhana International,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Untuk Konstruksi Bangunan Multi Atau Banyak Hunian,3,Tinggi,Sudah Verifikasi,Riau,Kota Pekanbaru
1057,2750,PT Vadhana International,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",3,Tinggi,Sudah Verifikasi,Riau,Kota Pekanbaru
1058,2750,PT Vadhana International,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,Konstruksi Alat Angkat Dan Alat Angkut,3,Tinggi,Sudah Verifikasi,Riau,Kota Pekanbaru
1059,2750,PT Vadhana International,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pengoperasian Dan Pemeliharaan Sistem Peringatan Bahaya,3,Tinggi,Sudah Verifikasi,Riau,Kota Pekanbaru
1060,2751,PT ADHI KARYA (Persero) Tbk,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1061,2751,PT ADHI KARYA (Persero) Tbk,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Konstruksi Bangunan Gudang Dan Industri,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1062,2751,PT ADHI KARYA (Persero) Tbk,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Terintegrasi,Industri Proses,Jasa Terintegrasi Untuk Konstruksi Fasilitas Minyak Dan Gas ,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1063,2751,PT ADHI KARYA (Persero) Tbk,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Terintegrasi,Infrastruktur Sipil,Bangunan Gedung,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1064,2751,PT ADHI KARYA (Persero) Tbk,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Pengelolaan Limbah Pemboran Dan Produksi,Pengelolaan Limbah Pemboran,Pengelolaan Limbah Lumpur Pemboran,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1065,2751,PT ADHI KARYA (Persero) Tbk,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Pengelolaan Limbah Pemboran Dan Produksi,Pengelolaan Limbah Produksi,Pengelolaan Limbah Air Terproduksi,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1066,2754,PT HUAFU HOPE INDONESIA,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Pengelolaan Limbah Pemboran Dan Produksi,Pengelolaan Limbah Pemboran,Pengelolaan Limbah Lumpur Pemboran,2,Rendah,Sudah Verifikasi,Banten,Tangerang
1067,2754,PT HUAFU HOPE INDONESIA,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Pengelolaan Limbah Pemboran Dan Produksi,Pengelolaan Limbah Produksi,Pengelolaan Limbah Air Terproduksi,2,Rendah,Sudah Verifikasi,Banten,Tangerang
1068,2755,PT SARANA MULTINIAGA INTERNASIONAL,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Mekanikal ,1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Barat
1069,2756,PT PRASADA SAMYA MUKTI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Welding Inspection,3,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1070,2756,PT PRASADA SAMYA MUKTI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),3,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1071,2756,PT PRASADA SAMYA MUKTI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pembersihan Tangki (Tank Cleaning),3,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1072,2757,PT UNGGUL JAYA ENERGI,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",1,Rendah,Belum Verifikasi,Jawa Timur,Kota Surabaya
1073,2757,PT UNGGUL JAYA ENERGI,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Sipil,Pekerjaan Struktur,1,Rendah,Belum Verifikasi,Jawa Timur,Kota Surabaya
1074,2757,PT UNGGUL JAYA ENERGI,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Konstruksi Bangunan Gudang Dan Industri,1,Rendah,Belum Verifikasi,Jawa Timur,Kota Surabaya
1075,2758,PT Jasa Guna Cemerlang,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Konsultansi Konstruksi,Perencanaan Konstruksi,Jasa Nasihat/Pra Disain Dan Disain Engineering Pekerjaan Teknik Sipil,1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1076,2759,PT DUTA LINTAS TRANSPORTASI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Angkutan  Laut,Accomodation Work Barge (AWB),1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Pusat
1077,2762,PT TITIAN LANCAR ABADI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),3,Tinggi,Sudah Verifikasi,Banten,Serang
1078,2762,PT TITIAN LANCAR ABADI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Welding Inspection,3,Tinggi,Sudah Verifikasi,Banten,Serang
1079,2763,PT TAKA HYDROCORE INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Geologi & Geofisika,Jasa Survei G&G,Survei Geologi,2,Tinggi,Belum Verifikasi,Banten,Kota Tangerang Selatan
1080,2764,PT MULTI HIDRACHROME INDUSTRI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Pemboran ,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Barat
1081,2765,SINAR INDOJAYA ENERGI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Inspeksi Teknis Instalasi Pemboran (Rig),1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1082,2766,PT BANNI INSTRUMENTASI INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perakit Perekayasa Alat Ukur Minyak Dan Gas Bumi,1,Rendah,Belum Verifikasi,Jawa Barat,Kota Cimahi
1083,2772,PT FERGACO INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pengoperasian Dan Pemeliharaan Sistem Penanganan Bahaya,1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1084,2773,PT TETAP ASSA GEMILANG,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Mekanikal ,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Utara
1085,2774,PT WELTES ENERGI NUSANTARA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",2,Rendah,Belum Verifikasi,Jawa Timur,Gresik
1086,2774,PT WELTES ENERGI NUSANTARA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Konstruksi Bangunan Gudang Dan Industri,2,Rendah,Belum Verifikasi,Jawa Timur,Gresik
1087,2775,PT PRIMA HIDROKARBON INTERNUSA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Penelitian Dan Pengembangan,Penelitian Laboratorium,Rekayasa Fludia Pemboran (Mud Engineering),1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
1088,2777,PT BUMI MAS JAYA PERKASA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",3,Tinggi,Sudah Verifikasi,Banten,Tangerang
1089,2777,PT BUMI MAS JAYA PERKASA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Sipil,Pelabuhan Atau Dermaga,3,Tinggi,Sudah Verifikasi,Banten,Tangerang
1090,2777,PT BUMI MAS JAYA PERKASA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Blasting,3,Tinggi,Sudah Verifikasi,Banten,Tangerang
1091,2780,PT JAYA ANUGRAH SATRINA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",1,Rendah,Belum Verifikasi,Jawa Barat,Cirebon
1092,2780,PT JAYA ANUGRAH SATRINA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Konstruksi Bangunan Gudang Dan Industri,1,Rendah,Belum Verifikasi,Jawa Barat,Cirebon
1093,2780,PT JAYA ANUGRAH SATRINA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Pemompaan,1,Rendah,Belum Verifikasi,Jawa Barat,Cirebon
1094,2781,PT Consult International Indonesia,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Inspeksi Teknis Pesawat Angkat,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Pusat
1095,2781,PT Consult International Indonesia,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Pusat
